,Name,total_wins,week_01,week_02,week_03,week_04,week_05,week_06,week_07,week_08,week_09,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17
20,Fein Men,170.0,11.0,10.0,10.0,9.0,11.0,9.0,12.0,12.0,11.0,8.0,8.0,11.0,9.0,9.0,8.0,10.0,12.0
21,Fire Goodell,135.0,11.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,1.0,8.0,5.0,11.0,9.0,11.0,8.0,12.0,0.0
22,Friedman's Got Talent,155.0,10.0,10.0,10.0,8.0,10.0,8.0,11.0,10.0,8.0,8.0,6.0,8.0,7.0,8.0,10.0,10.0,13.0
23,GEO DOG,167.0,11.0,10.0,9.0,9.0,7.0,9.0,10.0,11.0,12.0,8.0,6.0,12.0,9.0,9.0,12.0,9.0,14.0
24,GKAT28,155.0,12.0,8.0,9.0,8.0,9.0,11.0,10.0,10.0,6.0,9.0,7.0,10.0,8.0,7.0,8.0,11.0,12.0
25,GeveandSteveandStella,148.0,10.0,7.0,7.0,6.0,8.0,9.0,12.0,11.0,8.0,8.0,3.0,8.0,10.0,10.0,8.0,12.0,11.0
26,Giant Blues,159.0,9.0,8.0,9.0,9.0,10.0,8.0,12.0,10.0,10.0,9.0,6.0,10.0,9.0,10.0,9.0,10.0,11.0
27,Go Pats!!!,153.0,9.0,8.0,5.0,10.0,7.0,11.0,11.0,11.0,9.0,9.0,7.0,10.0,9.0,8.0,10.0,10.0,9.0
28,HAPPY NESS,163.0,7.0,12.0,10.0,9.0,9.0,11.0,10.0,10.0,8.0,7.0,9.0,11.0,9.0,8.0,8.0,13.0,12.0
29,HEADLY IV,152.0,10.0,12.0,8.0,9.0,9.0,6.0,10.0,9.0,8.0,7.0,5.0,11.0,8.0,8.0,11.0,10.0,11.0
30,HayMadEm,159.0,10.0,10.0,6.0,10.0,8.0,12.0,8.0,10.0,7.0,8.0,7.0,12.0,9.0,8.0,8.0,14.0,12.0
31,JMenacker,161.0,10.0,7.0,10.0,9.0,9.0,9.0,11.0,12.0,8.0,8.0,5.0,12.0,10.0,7.0,10.0,10.0,14.0
32,Jack,154.0,11.0,8.0,7.0,10.0,9.0,8.0,11.0,11.0,10.0,7.0,2.0,12.0,6.0,7.0,12.0,10.0,13.0
33,Jaddie's Daddy,165.0,9.0,11.0,7.0,9.0,11.0,10.0,8.0,11.0,11.0,8.0,7.0,11.0,9.0,9.0,11.0,13.0,10.0
34,Jay's Gramps,157.0,11.0,9.0,7.0,10.0,9.0,10.0,10.0,12.0,6.0,7.0,7.0,8.0,8.0,9.0,10.0,11.0,13.0
35,Jeff Rosenthal,162.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,13.0,9.0,9.0,3.0,11.0,10.0,8.0,9.0,11.0,12.0
36,Jerry1229,154.0,0.0,9.0,7.0,7.0,9.0,9.0,11.0,14.0,10.0,8.0,7.0,11.0,9.0,7.0,11.0,11.0,14.0
37,Joe Cell Man,167.0,12.0,9.0,7.0,11.0,11.0,11.0,11.0,8.0,10.0,8.0,8.0,10.0,9.0,8.0,8.0,13.0,13.0
38,JustMonkeyinAround,156.0,10.0,10.0,5.0,8.0,10.0,10.0,9.0,11.0,9.0,9.0,6.0,12.0,10.0,8.0,8.0,10.0,11.0
39,Keith Swet Tailor,159.0,9.0,10.0,9.0,9.0,11.0,12.0,11.0,12.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0,11.0,11.0
