"","Score","Potential ScorePerfect: 16","LAC 29@KC 28","HOU 29@NYJ 22","CLE 17@DEN 16","GB 17@CHI 24","DET 13@BUF 14","TB 12@BAL 20","AZ 14@ATL 40","OAK 16@CIN 30","TEN 17@NYG 0","MIA 17@MN 41","WAS 16@JAX 13","DAL 0@IND 23","SEA 23@SF 26","NE 10@PIT 17","PHI 30@LAR 23","NO 12@CAR 9","Tie BreakerPredictionActual: 21"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"West Coast Eagles Fan","7","7","KC","NYJ","DEN","GB","DET","BAL","ATL","CIN","TEN","MN","JAX","IND","SEA","NE","LAR","NO","45"
"Keith Swet Tailor","7","7","KC","HOU","DEN","GB","DET","BAL","ATL","OAK","TEN","MN","JAX","IND","SEA","NE","LAR","NO","47"
"Nugget2018","7","7","LAC","HOU","DEN","GB","DET","BAL","ATL","OAK","NYG","MN","JAX","IND","SEA","NE","LAR","NO","47"
"Petvet","7","7","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","NYG","MN","JAX","DAL","SEA","NE","LAR","CAR","52"
"Torch","7","7","KC","HOU","DEN","CHI","BUF","BAL","ATL","OAK","NYG","MN","JAX","DAL","SEA","NE","LAR","NO","56"
"madbolt","7","7","LAC","HOU","CLE","GB","BUF","BAL","ATL","OAK","NYG","MN","JAX","DAL","SEA","NE","LAR","CAR","58"
"Mega Movis Men","7","7","KC","HOU","DEN","CHI","BUF","TB","ATL","CIN","TEN","MIA","JAX","DAL","SEA","NE","LAR","NO","59"
"coach1","6","6","KC","HOU","DEN","GB","DET","BAL","ATL","CIN","NYG","MN","JAX","DAL","SEA","NE","LAR","NO","45"
"Twinkletoes","6","6","KC","HOU","DEN","GB","DET","BAL","ATL","CIN","NYG","MN","JAX","DAL","SEA","NE","LAR","NO","46"
"Eggman","6","6","KC","HOU","DEN","GB","DET","TB","ATL","CIN","NYG","MN","JAX","IND","SEA","NE","LAR","NO","48"
"Bill's Mafia","5","5","-","-","-","CHI","BUF","TB","AZ","OAK","NYG","MN","JAX","DAL","SF","PIT","LAR","CAR","50"
"Sophie's Last Choice","4","4","KC","HOU","DEN","GB","DET","BAL","AZ","OAK","TEN","MIA","JAX","DAL","SEA","NE","LAR","NO","53"
"Dr Blue","3","3","LAC","HOU","CLE","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"El Presidente","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"Wentz is Jewish","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
